record number,datetime,season,holiday,weather,temp,humidity,windspeed,casual,registered,all_users
77,5/12/11 16:00,2,0,2,23,57,17.00,50,237,287
78,8/15/11 21:00,3,0,1,24,65,13.00,34,150,184
79,4/13/11 22:00,2,0,1,12,67,13.00,10,88,98
80,3/28/11 0:00,2,0,1,2,55,13.00,1,11,12
81,5/6/12 12:00,2,0,2,21,64,6.00,207,350,557
82,3/18/12 9:00,1,0,2,12,88,6.00,65,113,178
83,11/4/11 4:00,4,0,2,10,87,6.00,1,6,7
84,2/17/12 16:00,1,0,1,12,32,20.00,56,250,306
85,9/17/12 10:00,3,0,2,22,65,13.00,73,129,202
86,6/4/12 21:00,2,0,1,20,49,17.00,40,225,265
87,5/24/11 3:00,2,0,2,20,94,7.00,0,2,2
88,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
89,6/29/12 19:00,3,0,1,36,47,13.00,60,303,363
90,11/12/12 7:00,4,1,1,11,87,0.00,16,248,264
91,9/16/11 0:00,3,0,1,12,71,15.00,5,43,48
92,7/4/11 13:00,3,1,2,30,49,0.00,242,181,423
93,6/26/12 3:00,3,0,1,18,45,19.00,2,7,9
94,10/10/11 5:00,4,1,1,14,94,0.00,2,19,21
95,1/13/12 5:00,1,0,2,6,70,37.00,0,21,21
96,3/27/11 4:00,2,0,3,0,74,11.00,1,5,6
97,1/1/11 11:00,1,0,1,9,81,19.00,26,30,56
98,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
99,7/16/11 16:00,3,0,1,29,45,19.00,183,242,425
100,11/16/11 18:00,4,0,3,14,88,26.00,13,176,189
101,6/24/12 13:00,3,0,1,31,33,19.00,237,348,585
102,1/3/11 10:00,1,0,1,0,43,17.00,11,33,44
103,10/28/11 13:00,4,0,2,10,42,15.00,43,185,228
104,7/27/12 10:00,3,0,1,33,47,0.00,85,146,231
105,3/26/12 10:00,2,0,1,16,36,39.00,55,96,151
106,4/6/11 19:00,2,0,1,16,31,20.00,36,195,231
107,8/19/11 0:00,3,0,3,25,69,13.00,9,53,62
108,11/17/11 18:00,4,0,1,7,39,13.00,9,298,307
109,10/2/12 0:00,4,0,2,19,73,0.00,1,30,31
110,5/16/11 3:00,2,0,1,16,94,11.00,1,3,4
111,9/15/12 14:00,3,0,1,25,34,22.00,325,390,715
112,5/24/12 21:00,2,0,3,23,78,11.00,48,237,285
113,6/21/11 7:00,3,0,2,21,94,0.00,21,286,307
114,4/21/12 10:00,2,0,1,21,64,19.00,183,299,482
115,4/16/11 20:00,2,0,3,13,94,15.00,4,49,53
116,11/13/12 21:00,4,0,1,6,49,24.00,9,178,187
117,4/11/12 13:00,2,0,2,11,40,24.00,16,146,162
118,6/4/12 11:00,2,0,1,23,38,33.00,71,168,239
119,10/9/11 15:00,4,0,1,25,51,11.00,198,209,407
120,5/31/12 19:00,2,0,1,27,34,11.00,104,487,591
121,11/16/12 22:00,4,0,1,7,53,17.00,23,139,162
122,3/19/12 2:00,1,0,1,14,88,11.00,1,7,8
123,4/29/11 10:00,2,0,1,19,40,19.00,57,99,156
124,2/29/12 18:00,1,0,3,11,87,0.00,11,181,192
125,12/30/12 16:00,1,0,1,5,38,28.00,31,102,133
126,9/18/12 16:00,3,0,3,21,88,20.00,19,122,141
127,4/16/11 13:00,2,0,3,14,94,35.00,9,49,58
128,11/17/11 14:00,4,0,2,8,49,26.00,5,104,109
129,7/30/12 13:00,3,0,1,31,49,11.00,57,169,226
130,3/9/11 20:00,1,0,2,7,87,13.00,4,87,91
131,2/12/12 13:00,1,0,1,-1,40,30.00,10,128,138
132,7/5/12 18:00,3,0,2,36,39,22.00,96,511,607
133,3/20/11 16:00,1,0,1,12,32,0.00,92,132,224
134,11/25/11 10:00,4,0,1,9,71,11.00,60,80,140
135,5/23/12 7:00,2,0,1,20,83,0.00,16,450,466
136,7/24/12 1:00,3,0,1,25,79,11.00,7,10,17
137,10/31/11 17:00,4,0,1,12,54,9.00,44,442,486
138,5/13/11 21:00,2,0,2,17,84,11.00,24,130,154
139,3/6/11 14:00,1,0,3,13,100,15.00,12,27,39
140,11/9/11 14:00,4,0,1,17,48,11.00,26,153,179
141,2/24/12 4:00,1,0,1,11,87,9.00,0,2,2
142,3/21/12 16:00,2,0,1,20,73,0.00,91,287,378
143,1/29/12 15:00,1,0,1,9,25,19.00,68,242,310
144,10/2/11 2:00,4,0,3,8,87,20.00,3,27,30
145,8/9/12 8:00,3,0,1,27,74,7.00,28,670,698
146,1/1/11 8:00,1,0,1,3,75,0.00,1,7,8
147,6/30/12 21:00,3,0,1,32,52,11.00,48,165,213
148,2/28/11 7:00,1,0,2,9,93,7.00,2,90,92
149,12/8/12 9:00,4,0,2,10,94,0.00,17,153,170
150,6/15/12 23:00,2,0,1,22,53,17.00,46,176,222
151,10/27/11 0:00,4,0,1,14,94,0.00,3,22,25
152,2/10/12 23:00,1,0,2,6,70,6.00,1,64,65
153,8/2/12 20:00,3,0,1,30,66,0.00,51,376,427
154,1/29/12 20:00,1,0,1,6,39,15.00,13,98,111
155,4/3/12 23:00,2,0,1,16,59,0.00,13,65,78
156,4/19/12 8:00,2,0,2,12,82,7.00,26,648,674
157,3/8/12 11:00,1,0,2,18,60,31.00,48,156,204
158,11/27/11 12:00,4,0,1,18,56,19.00,63,193,256
159,5/23/11 7:00,2,0,2,19,94,7.00,13,222,235
160,12/3/12 11:00,4,0,1,15,77,9.00,51,182,233
161,1/12/12 21:00,1,0,1,13,67,9.00,12,161,173
162,3/9/11 16:00,1,0,2,8,76,22.00,10,101,111
163,11/27/11 13:00,4,0,1,18,60,13.00,97,216,313
164,3/28/12 14:00,2,0,1,22,38,24.00,52,169,221
165,2/28/12 19:00,1,0,1,12,26,0.00,15,291,306
166,3/9/11 6:00,1,0,2,3,85,7.00,5,44,49
167,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
168,4/8/11 5:00,2,0,2,7,87,13.00,1,8,9
169,3/15/12 2:00,1,0,1,16,59,0.00,14,5,19
170,8/14/12 1:00,3,0,1,25,79,17.00,8,19,27
171,7/10/11 16:00,3,0,1,33,41,19.00,128,244,372
172,6/5/12 19:00,2,0,1,20,46,17.00,68,444,512
173,11/12/12 20:00,4,1,2,17,77,19.00,31,273,304
174,12/13/12 10:00,4,0,1,7,45,19.00,28,139,167
175,8/5/11 9:00,3,0,1,27,58,7.00,43,183,226
176,10/27/11 11:00,4,0,3,16,88,9.00,8,44,52
177,11/22/11 1:00,4,0,3,11,94,9.00,1,5,6
178,7/16/12 18:00,3,0,1,33,53,0.00,97,697,794
179,9/12/11 21:00,3,0,1,23,73,6.00,29,166,195
180,1/23/11 8:00,1,0,1,-6,62,11.00,2,17,19
181,1/15/11 13:00,1,0,1,5,38,20.00,21,80,101
182,1/17/11 0:00,1,1,2,1,47,15.00,1,16,17
183,8/18/12 21:00,3,0,1,24,61,0.00,90,248,338
184,5/12/11 18:00,2,0,1,22,69,15.00,64,463,527
185,12/17/12 8:00,4,0,2,10,87,7.00,10,582,592
186,8/19/12 6:00,3,0,2,22,69,7.00,5,15,20
187,11/8/12 19:00,4,0,1,10,27,24.00,14,359,373
188,3/14/11 16:00,1,0,1,11,35,7.00,27,80,107
189,7/26/11 0:00,3,0,1,26,79,7.00,8,20,28
190,11/10/11 18:00,4,0,2,9,81,11.00,10,263,273
191,2/5/11 9:00,1,0,3,1,100,6.00,3,17,20
192,10/26/11 4:00,4,0,1,12,71,17.00,0,5,5
193,9/12/12 16:00,3,0,1,27,37,11.00,90,419,509
194,4/19/11 23:00,2,0,1,14,88,6.00,11,41,52
195,7/6/12 16:00,3,0,1,37,29,7.00,69,300,369
196,8/27/11 1:00,3,0,1,26,84,11.00,13,51,64
197,8/5/12 3:00,3,0,1,27,74,17.00,9,32,41
198,2/3/11 2:00,1,0,1,0,43,17.00,0,2,2
199,1/7/12 22:00,1,0,1,13,38,17.00,16,93,109
200,2/12/11 19:00,1,0,1,5,38,11.00,2,39,41
201,7/1/12 9:00,3,0,1,32,56,0.00,51,168,219
202,1/18/11 20:00,1,0,2,2,87,0.00,0,82,82
203,6/5/12 2:00,2,0,3,17,72,20.00,0,8,8
204,11/11/12 22:00,4,0,1,12,71,13.00,21,113,134
205,11/28/12 8:00,4,0,1,3,60,19.00,9,683,692
206,5/6/11 14:00,2,0,1,21,40,30.00,86,127,213
207,1/23/12 7:00,1,0,3,1,86,0.00,8,114,122
208,12/21/12 17:00,1,0,2,4,56,22.00,24,297,321
209,7/6/11 23:00,3,0,1,25,83,15.00,20,78,98
210,9/17/11 9:00,3,0,2,15,67,15.00,32,145,177
211,2/14/11 19:00,1,0,1,10,43,33.00,12,86,98
212,8/19/12 2:00,3,0,2,22,69,6.00,16,103,119
213,10/25/11 5:00,4,0,1,10,87,9.00,0,24,24
214,5/17/12 10:00,2,0,1,19,52,17.00,43,161,204
215,6/16/11 9:00,2,0,2,22,65,13.00,29,232,261
216,3/17/12 22:00,1,0,1,18,68,0.00,58,153,211
217,2/6/12 17:00,1,0,1,11,43,17.00,13,417,430
218,6/5/12 4:00,2,0,3,16,82,13.00,1,4,5
219,8/9/12 2:00,3,0,1,26,84,6.00,2,12,14
220,11/4/12 14:00,4,0,1,11,40,13.00,149,360,509
221,2/24/12 1:00,1,0,1,13,62,13.00,3,15,18
222,9/28/11 17:00,4,0,1,26,70,15.00,64,526,590
223,12/23/11 21:00,1,0,1,7,61,15.00,0,32,32
224,10/28/11 18:00,4,0,2,9,53,11.00,36,331,367
225,4/25/12 14:00,2,0,1,19,22,24.00,47,176,223
226,4/12/12 11:00,2,0,1,12,47,20.00,50,174,224
227,3/27/12 3:00,2,0,1,4,30,22.00,0,4,4
228,12/10/11 15:00,4,0,1,8,34,24.00,60,238,298
229,6/29/11 4:00,3,0,1,24,83,7.00,0,5,5
230,5/12/12 4:00,2,0,1,13,67,7.00,3,6,9
231,12/13/11 15:00,4,0,1,11,35,17.00,7,143,150
232,10/5/12 23:00,4,0,1,20,78,15.00,23,148,171
233,2/8/12 4:00,1,0,1,3,70,6.00,0,1,1
234,3/23/12 15:00,2,0,2,27,42,9.00,191,281,472
235,7/27/11 20:00,3,0,1,29,45,15.00,55,239,294
236,8/17/11 23:00,3,0,1,26,65,19.00,20,85,105
237,8/11/11 19:00,3,0,1,28,35,13.00,48,323,371
238,2/15/12 0:00,1,0,1,7,57,0.00,0,22,22
239,8/12/12 14:00,3,0,1,29,40,13.00,213,366,579
240,1/31/12 20:00,1,0,1,11,58,7.00,15,223,238
241,12/2/12 14:00,4,0,1,13,62,17.00,142,331,473
242,10/1/11 22:00,4,0,2,9,93,15.00,12,58,70
243,5/22/11 14:00,2,0,3,22,69,13.00,125,190,315
244,12/22/12 16:00,1,0,1,6,39,30.00,23,124,147
245,12/19/12 11:00,4,0,1,11,54,15.00,31,169,200
246,8/13/12 20:00,3,0,1,28,62,15.00,58,374,432
247,9/6/11 9:00,3,0,2,18,81,28.00,18,166,184
248,5/3/11 0:00,2,0,2,19,83,15.00,0,16,16
249,7/12/12 11:00,3,0,1,29,45,7.00,49,166,215
250,11/18/12 6:00,4,0,1,5,81,11.00,2,13,15
251,6/28/11 23:00,3,0,1,26,70,19.00,23,58,81
252,7/17/12 12:00,3,0,2,36,35,0.00,80,174,254
253,9/12/12 14:00,3,0,1,26,37,11.00,78,200,278
254,9/5/12 12:00,3,0,1,30,70,7.00,49,217,266
255,10/30/12 18:00,4,0,3,6,87,9.00,4,139,143
256,8/1/11 10:00,3,0,1,34,36,11.00,27,69,96
257,2/14/11 8:00,1,0,1,10,40,31.00,7,247,254
258,7/8/12 1:00,3,0,1,32,56,7.00,25,99,124
259,8/18/12 18:00,3,0,1,28,37,11.00,225,329,554
260,7/27/11 5:00,3,0,1,26,54,19.00,0,18,18
261,12/5/12 18:00,4,0,1,12,35,30.00,29,580,609
262,11/27/11 5:00,4,0,1,9,87,13.00,0,5,5
263,5/22/11 2:00,2,0,1,17,94,7.00,18,50,68
264,3/29/12 21:00,2,0,1,13,44,19.00,10,214,224
265,8/27/11 0:00,3,0,1,26,84,7.00,33,112,145
266,9/16/11 3:00,3,0,1,11,71,17.00,2,4,6
267,11/23/11 22:00,4,0,1,8,61,30.00,3,59,62
268,6/27/12 14:00,3,0,1,31,24,24.00,78,191,269
269,4/17/11 13:00,2,0,1,16,34,26.00,180,162,342
270,8/29/11 21:00,3,0,1,23,53,13.00,34,168,202
271,10/21/12 11:00,4,0,1,17,44,22.00,191,356,547
272,8/30/12 10:00,3,0,1,27,54,0.00,73,161,234
273,3/6/12 4:00,1,0,1,0,51,20.00,0,3,3
274,12/7/11 9:00,4,0,3,13,100,17.00,0,64,64
275,2/25/12 14:00,1,0,1,7,29,37.00,35,181,216
276,2/14/11 0:00,1,0,1,10,37,24.00,3,8,11
277,5/11/11 6:00,2,0,1,14,82,9.00,6,93,99
278,11/25/12 16:00,4,0,1,6,39,15.00,25,203,228
279,7/27/12 12:00,3,0,1,33,49,24.00,92,207,299
280,11/15/11 16:00,4,0,2,17,68,9.00,31,240,271
281,7/21/12 5:00,3,0,3,20,88,17.00,7,10,17
282,12/10/12 16:00,4,0,2,16,88,7.00,37,308,345
283,8/29/12 4:00,3,0,1,21,73,15.00,2,8,10
284,1/19/12 11:00,1,0,1,-1,55,11.00,6,93,99
285,7/10/12 16:00,3,0,1,31,43,15.00,89,346,435
286,9/20/12 20:00,3,0,1,19,64,9.00,57,360,417
287,4/14/11 5:00,2,0,1,8,76,6.00,2,12,14
288,7/6/12 17:00,3,0,1,37,29,0.00,90,486,576
289,7/15/11 8:00,3,0,1,23,65,17.00,50,513,563
290,7/17/11 4:00,3,0,1,22,73,11.00,4,5,9
291,6/30/12 8:00,3,0,1,23,89,11.00,26,168,194
292,1/20/12 20:00,1,0,2,1,34,6.00,1,140,141
293,3/31/12 2:00,2,0,2,12,77,17.00,14,55,69
294,9/25/12 10:00,4,0,1,19,52,20.00,45,125,170
295,12/28/12 18:00,1,0,1,3,60,9.00,16,197,213
296,12/26/11 20:00,1,1,1,6,56,6.00,14,42,56
297,6/7/11 15:00,2,0,2,32,41,22.00,56,127,183
298,2/27/12 0:00,1,0,1,4,60,17.00,2,27,29
299,6/25/11 18:00,3,0,1,27,45,17.00,108,199,307
300,3/6/11 21:00,1,0,3,3,93,41.00,1,6,7
301,9/10/11 11:00,3,0,1,27,62,17.00,108,252,360
302,7/6/11 4:00,3,0,2,25,83,6.00,0,6,6
303,6/15/11 13:00,2,0,1,28,28,19.00,43,146,189
304,3/16/11 4:00,1,0,2,6,93,11.00,0,1,1
305,5/1/11 0:00,2,0,1,12,67,6.00,19,77,96
306,10/20/11 23:00,4,0,1,12,58,17.00,7,83,90
307,7/3/12 2:00,3,0,1,27,58,0.00,2,8,10
308,7/18/11 17:00,3,0,1,33,49,22.00,72,473,545
309,3/22/12 19:00,2,0,1,24,61,0.00,117,467,584
310,10/18/11 4:00,4,0,2,13,94,7.00,0,4,4
311,3/29/12 11:00,2,0,1,16,45,28.00,54,166,220
312,2/26/12 17:00,1,0,1,9,32,15.00,46,241,287
313,4/15/12 3:00,2,0,2,17,59,9.00,18,27,45
314,4/24/12 3:00,2,0,1,7,81,15.00,0,2,2
315,3/5/12 13:00,1,0,2,4,55,20.00,11,109,120
316,10/26/12 5:00,4,0,2,17,88,7.00,3,47,50
317,5/10/12 23:00,2,0,1,15,48,7.00,23,112,135
318,9/16/12 4:00,3,0,1,16,72,0.00,2,6,8
319,9/23/12 11:00,4,0,1,19,46,17.00,186,384,570
320,4/12/12 10:00,2,0,1,11,50,20.00,38,103,141
321,7/31/11 12:00,3,0,1,36,25,13.00,146,192,338
322,6/21/11 15:00,3,0,1,30,59,17.00,42,128,170
323,11/24/12 10:00,4,0,2,4,44,20.00,46,96,142
324,1/30/11 11:00,1,0,1,2,75,0.00,9,50,59
325,5/6/12 4:00,2,0,3,17,83,11.00,9,7,16
326,11/23/11 4:00,4,0,3,17,88,24.00,0,5,5
327,2/27/12 8:00,1,0,1,3,60,0.00,14,514,528
328,6/26/12 5:00,3,0,1,17,48,26.00,3,36,39
329,2/17/12 14:00,1,0,1,11,37,24.00,33,137,170
330,6/26/11 0:00,3,0,1,23,53,0.00,30,85,115
331,9/11/11 8:00,3,0,1,23,78,0.00,25,68,93
332,9/12/12 3:00,3,0,1,16,77,6.00,0,7,7
333,1/9/11 7:00,1,0,1,-5,53,13.00,1,5,6
334,1/29/11 7:00,1,0,1,-1,59,7.00,1,4,5
335,2/15/11 0:00,1,0,1,6,49,28.00,7,12,19
336,11/20/12 9:00,4,0,2,9,71,0.00,28,298,326
337,10/29/11 8:00,4,0,3,5,87,24.00,4,16,20
338,10/3/12 14:00,4,0,2,27,70,11.00,56,195,251
339,7/7/11 16:00,3,0,1,34,39,15.00,47,218,265
340,12/26/11 6:00,1,1,1,7,45,19.00,0,4,4
341,3/1/11 9:00,1,0,1,2,55,28.00,8,115,123
342,1/29/12 18:00,1,0,1,8,23,24.00,17,151,168
343,12/6/12 20:00,4,0,2,3,60,7.00,5,222,227
344,7/11/11 13:00,3,0,1,34,50,17.00,22,119,141
345,3/2/11 13:00,1,0,1,16,25,0.00,35,90,125
346,11/8/11 16:00,4,0,1,19,46,9.00,39,249,288
347,5/30/11 9:00,2,1,1,27,74,6.00,47,79,126
348,1/1/11 3:00,1,0,1,3,75,0.00,3,10,13
349,11/24/11 1:00,4,1,1,7,57,28.00,1,23,24
350,5/24/12 17:00,2,0,1,28,55,19.00,120,678,798
351,7/9/11 3:00,3,0,1,23,89,9.00,7,23,30
352,6/13/11 22:00,2,0,1,22,46,15.00,20,114,134
353,2/13/11 13:00,1,0,1,10,29,24.00,62,92,154
354,1/16/12 22:00,1,1,2,6,49,24.00,4,39,43
355,10/5/12 11:00,4,0,1,26,48,13.00,90,214,304
356,12/20/11 9:00,4,0,2,9,66,0.00,14,244,258
357,8/24/12 10:00,3,0,2,29,48,0.00,78,184,262
358,2/15/12 15:00,1,0,1,12,41,15.00,7,163,170
359,6/16/11 21:00,2,0,3,22,83,17.00,34,154,188
360,10/8/11 21:00,4,0,1,17,77,0.00,54,133,187
361,9/1/11 9:00,3,0,1,23,69,7.00,29,177,206
362,2/14/11 6:00,1,0,1,8,46,20.00,1,25,26
363,3/3/11 4:00,1,0,1,-1,31,33.00,0,1,1
364,8/13/12 9:00,3,0,2,28,45,0.00,40,265,305
365,1/10/12 16:00,1,0,1,12,38,24.00,15,225,240
366,1/15/11 19:00,1,0,2,7,39,17.00,14,60,74
367,12/16/11 2:00,4,0,1,15,77,7.00,0,23,23
368,3/25/11 19:00,2,0,2,6,36,19.00,9,125,134
369,10/23/12 15:00,4,0,1,25,41,15.00,76,270,346
370,10/28/11 20:00,4,0,3,8,61,15.00,12,131,143
371,7/3/12 1:00,3,0,1,27,58,0.00,5,9,14
372,1/20/11 13:00,1,0,2,5,45,7.00,12,77,89
373,2/20/11 16:00,1,0,1,9,29,6.00,59,88,147
374,10/29/11 7:00,4,0,3,4,87,24.00,1,6,7
375,9/9/12 10:00,3,0,1,23,57,20.00,172,323,495
376,9/8/11 22:00,3,0,3,22,100,6.00,5,65,70
377,10/22/11 13:00,4,0,1,16,45,0.00,136,186,322
378,3/14/12 12:00,1,0,2,23,29,0.00,55,212,267
379,11/11/11 15:00,4,1,1,9,37,28.00,29,186,215
380,3/6/12 22:00,1,0,1,5,56,11.00,5,101,106
381,5/6/11 2:00,2,0,1,10,62,7.00,1,15,16
382,6/18/11 8:00,2,0,1,24,78,6.00,28,103,131
383,7/23/12 12:00,3,0,2,31,52,11.00,109,205,314
384,12/16/12 23:00,4,0,2,9,93,9.00,4,29,33
385,1/1/12 11:00,1,0,1,8,76,9.00,40,98,138
386,1/10/12 18:00,1,0,1,11,40,7.00,13,372,385
387,12/17/12 1:00,4,0,2,10,87,7.00,1,14,15
388,6/9/12 4:00,2,0,1,22,57,0.00,2,6,8
389,9/29/12 8:00,4,0,1,16,68,19.00,37,174,211
390,10/6/12 22:00,4,0,1,13,62,9.00,45,140,185
391,10/17/12 8:00,4,0,2,11,76,0.00,38,779,817
392,2/4/11 20:00,1,0,2,3,65,11.00,2,69,71
393,2/18/11 3:00,1,0,1,14,67,17.00,2,6,8
394,8/29/11 4:00,3,0,1,19,68,9.00,0,3,3
395,3/2/12 3:00,1,0,1,7,57,13.00,0,3,3
396,4/23/11 11:00,2,0,2,14,88,15.00,68,164,232
397,9/15/11 12:00,3,0,2,24,69,20.00,31,148,179
398,10/21/11 4:00,4,0,1,9,71,11.00,0,6,6
399,1/9/12 23:00,1,0,2,2,87,7.00,1,51,52
400,11/29/12 15:00,4,0,1,9,43,19.00,19,201,220
401,9/18/12 0:00,3,0,3,21,94,17.00,2,11,13
402,7/27/12 0:00,3,0,1,27,70,0.00,14,83,97
403,4/2/11 8:00,2,0,1,6,70,7.00,10,45,55
404,7/31/12 22:00,3,0,1,25,74,17.00,33,224,257
405,7/11/11 21:00,3,0,1,26,79,28.00,21,109,130
406,12/31/11 4:00,1,0,1,10,71,15.00,1,9,10
407,9/10/12 21:00,3,0,1,19,49,11.00,29,256,285
408,7/11/12 22:00,3,0,1,27,58,17.00,41,203,244
409,1/17/12 22:00,1,0,1,14,72,26.00,5,85,90
410,11/19/12 14:00,4,0,1,13,54,17.00,47,170,217
411,11/5/12 21:00,4,0,1,6,52,19.00,8,144,152
412,5/5/11 8:00,2,0,1,12,50,17.00,25,412,437
413,9/15/12 3:00,3,0,1,21,73,17.00,6,31,37
414,9/8/12 8:00,3,0,1,26,79,22.00,33,197,230
415,10/6/11 15:00,4,0,1,20,46,9.00,62,156,218
416,9/3/12 6:00,3,1,1,24,94,0.00,3,12,15
417,5/16/12 11:00,2,0,1,26,54,9.00,55,212,267
418,11/26/11 19:00,4,0,2,11,71,6.00,46,100,146
419,10/15/12 15:00,4,0,1,21,78,22.00,70,190,260
420,1/17/11 3:00,1,1,2,0,43,13.00,0,2,2
421,3/28/12 13:00,2,0,1,19,43,22.00,60,213,273
422,7/12/11 7:00,3,0,1,29,55,13.00,29,300,329
423,10/12/11 10:00,4,0,2,18,88,26.00,15,98,113
424,4/27/12 5:00,2,0,1,12,44,24.00,0,19,19
425,1/16/12 9:00,1,1,1,-4,58,11.00,7,89,96
426,10/7/12 21:00,4,0,1,10,87,7.00,22,91,113
427,3/1/12 18:00,1,0,1,18,34,24.00,27,498,525
428,7/25/12 19:00,3,0,1,29,33,9.00,116,582,698
429,4/1/12 5:00,2,0,2,8,81,6.00,8,10,18
430,9/12/12 22:00,3,0,1,19,64,6.00,23,189,212
431,12/25/11 15:00,1,0,1,8,61,13.00,43,48,91
432,8/13/12 15:00,3,0,1,32,34,15.00,80,194,274
433,9/19/11 7:00,3,0,2,16,82,15.00,20,310,330
434,12/19/12 3:00,4,0,1,4,75,9.00,0,5,5
